プレミアカレンシー・プラス２
,運用期間（積立利率保証期間）
,,3年,5年,6年,10年
米ドル建,積立利率,4.12%,4.50%,4.36%,4.59%
,実質利回り,3.24%,3.75%,3.65%,3.94%
ユーロ建,積立利率,-,-,-,-
,実質利回り,-,-,-,-
豪ドル建,積立利率,3.72%,3.73%,3.85%,4.53%
,実質利回り,2.84%,2.99%,3.14%,3.88%

プレミアレシーブ（円建）
契約年齢,積立利率保証期間,積立利率
0歳～75歳,20年,0.80%
76歳～87歳,15年,0.76%

プレミアレシーブ（外貨建）
,積立利率保証期間（10年）
米ドル建,積立利率,4.06%
ユーロ建,積立利率,-
豪ドル建,積立利率,4.02%

プレミアレシーブ２
,積立利率,定期支払率
,契約年齢,積立利率保証期間（10年）,男性,女性
米ドル,0～65歳,4.14%,4.19%,4.18%
,66～75歳,4.11%,4.19%,4.16%
,76～80歳,4.06%,4.19%,4.14%
,81～85歳,3.89%,4.07%,4.00%
,86～90歳,3.64%,3.87%,3.79%
豪ドル,0～65歳,4.10%,4.15%,4.14%
,66～75歳,4.07%,4.15%,4.12%
,76～80歳,4.02%,4.15%,4.10%
,81～85歳,3.75%,3.92%,3.86%
,86～90歳,3.45%,3.67%,3.60%
円,0～65歳,0.75%,0.76%,0.76%
,66～75歳,0.74%,0.76%,0.75%
,76～80歳,0.67%,0.69%,0.69%
,81～85歳,0.66%,0.69%,0.68%
,86～90歳,0.65%,0.69%,0.68%
,積立利率,定期支払率
,契約年齢,積立利率保証期間（10年）,男性,女性
米ドル,0～65歳,4.14%,2.70%,2.69%
,66～75歳,4.11%,2.70%,2.67%
,76～80歳,4.06%,2.70%,2.65%
,81～85歳,3.89%,2.58%,2.51%
,86～90歳,3.64%,2.38%,2.30%
豪ドル,0～65歳,4.10%,2.66%,2.65%
,66～75歳,4.07%,2.66%,2.63%
,76～80歳,4.02%,2.66%,2.61%
,81～85歳,3.75%,2.43%,2.37%
,86～90歳,3.45%,2.18%,2.11%
円,0～65歳,0.75%,0.54%,0.54%
,66～75歳,0.74%,0.54%,0.53%
,76～80歳,0.67%,0.47%,0.47%
,81～85歳,0.66%,0.47%,0.46%
,86～90歳,0.65%,0.47%,0.46%

プレミアストーリー２
,受取回数（保険期間）,積立利率
米ドル,5回（4年）,2.55%
,7回（6年）,2.55%
,10回（9年）,2.80%
,15回（14年）,3.00%
,20回（19年）,3.10%
,25回（24年）,3.10%
,30回（29年）,3.10%
豪ドル,5回（4年）,2.46%
,7回（6年）,2.47%
,10回（9年）,2.52%
,15回（14年）,2.67%
,20回（19年）,2.80%
,25回（24年）,2.85%
,30回（29年）,2.90%

プレミアカレンシー３
,運用期間（積立利率保証期間）
,,3年,5年,6年,10年,15年,20年
米ドル,積立利率,4.13%,4.51%,4.37%,4.60%,,
,実質利回り,3.25%,3.76%,3.66%,4.00%,,
豪ドル,積立利率,3.73%,3.74%,3.86%,4.54%,,
,実質利回り,2.85%,3.00%,3.15%,3.95%,,
円,積立利率,,-,,0.83%,1.02%,1.03%
,実質利回り,,-,,0.728%,0.952%,0.979%
,死亡給付割合,積立利率
,運用期間（積立利率保証期間）
,,3年,5年,6年,10年,15年,20年
米ドル,100%,4.27%,4.65%,4.51%,4.74%,,
,50%,4.27%,4.65%,4.48%,4.64%,,
豪ドル,100%,3.94%,3.95%,4.07%,4.75%,,
,50%,3.94%,3.95%,4.04%,4.65%,,
円,100%,,-,,0.85%,1.04%,1.03%
,50%,,-,,0.74%,0.82%,0.77%

プレミアジャーニー
,死亡給付割合,積立利率
運用期間（積立利率保証期間）
,,5年,10年
米ドル,100%,3.76%,3.83%
円,100%,0.40%,0.65%

指数連動年金２
,死亡給付割合,積立利率
運用期間（積立利率保証期間）
,,5年,10年
米ドル,100%,3.84%,3.99%
豪ドル,100%,3.52%,4.50%
円,100%,0.43%,0.73%

プレミアプレゼント３
,契約年齢,積立利率保証期間,積立利率
米ドル,20歳～80歳,30年,4.62%
,81歳～90歳,10年,3.64%
豪ドル,20歳～85歳,20年,4.20%
,86歳～90歳,10年,4.04%
円,20歳～75歳,30年,1.00%
,76歳～90歳,15年,0.41%
,契約年齢,積立利率保証期間,積立利率
米ドル,40歳～80歳,30年,3.81%
,81歳～85歳,10年,3.38%
豪ドル,40歳～85歳,20年,4.00%
円,40歳～75歳,30年,0.55%
,76歳～85歳,15年,0.25%
,契約年齢,積立利率保証期間,積立利率
米ドル,40歳～80歳,30年,3.12%
,81歳～85歳,10年,2.50%
豪ドル,40歳～85歳,20年,3.01%
円,40歳～75歳,30年,0.47%
,76歳～85歳,15年,0.17%

プレミアストーリー４
,受取回数,積立利率保証期間,積立利率
米ドル,5回,4年,2.55%
,7回,6年,2.55%
,10回,9年,2.80%
,15回,14年,3.00%
,20回,19年,3.10%
,25回,24年,3.10%
,30回,29年,3.10%
豪ドル,5回,4年,2.46%
,7回,6年,2.47%
,10回,9年,2.52%
,15回,14年,2.67%
,20回,19年,2.80%
,25回,24年,2.85%
,30回,29年,2.90%
円,10回,9年,-
,11回,10年,0.09%
,12回,11年,0.10%
,13回,12年,0.10%
,14回,13年,0.10%
,15回,14年,0.10%
,16回,15年,0.10%
,17回,16年,0.10%
,18回,17年,0.10%
,19回,18年,0.10%
,20回,19年,0.10%
,終身保障倍率,受取回数,積立利率保証期間,積立利率
米ドル,1倍,3回,20年,2.55%
,,5回,20年,2.55%
,,7回,20年,2.56%
,,10回,20年,2.81%
,3倍,5回,20年,2.56%
,,7回,20年,2.57%
,,10回,20年,2.82%
豪ドル,1倍,3回,20年,2.46%
,,5回,20年,2.51%
,,7回,20年,2.52%
,,10回,20年,2.62%
,3倍,5回,20年,2.61%
,,7回,20年,2.67%
,,10回,20年,2.72%
円,5倍,10回,20年,0.10%
,,,30年,0.10%
,,20回,20年,0.10%
,,,30年,0.10%
,,30回,30年,0.10%

